Depth,GR,DT,DTS,RHOB,NPHI_LIM
500.5,99.2,74.6,130.5,2544.7,16.5
501.0,111.5,73.6,127.6,2558.0,16.9
501.5,117.4,72.4,125.6,2613.0,16.6
502.0,115.7,72.7,125.9,2600.2,18.0
502.5,131.0,72.5,124.9,2636.9,18.1
503.0,131.5,71.5,123.3,2633.4,17.3
503.5,122.1,70.9,121.9,2601.3,15.5
504.0,127.6,71.4,122.6,2622.1,16.5
504.5,133.2,70.6,120.8,2625.8,16.1
505.0,121.4,70.1,119.6,2618.2,15.2
505.5,100.7,70.0,120.0,2606.9,11.5
506.0,104.8,70.0,119.6,2619.2,14.3
506.5,103.0,70.0,118.4,2594.5,13.6
507.0,97.8,66.0,108.6,2620.9,14.1
507.5,77.5,63.6,105.3,2664.4,7.0
508.0,79.6,63.8,109.0,2656.8,8.7
508.5,115.3,67.5,118.2,2677.5,13.6
509.0,118.6,69.5,121.7,2641.8,16.2
509.5,114.3,70.7,124.9,2616.9,15.3
510.0,111.5,72.8,126.8,2592.6,17.0
510.5,104.2,73.9,128.3,2568.6,15.9
511.0,105.2,74.0,127.8,2572.9,15.9
511.5,109.0,73.1,126.6,2588.6,17.0
512.0,114.3,71.4,123.3,2588.4,17.9
512.5,98.6,70.4,120.9,2581.7,15.3
513.0,87.2,70.3,120.6,2576.0,13.1
513.5,93.7,69.7,120.2,2584.0,14.1
514.0,106.2,68.5,118.1,2643.7,15.9
514.5,108.3,65.7,114.2,2647.6,16.2
515.0,87.7,60.8,108.7,2784.8,9.4
515.5,112.0,65.1,113.8,2757.1,12.6
516.0,132.1,66.2,116.3,2691.2,20.6
516.5,120.2,64.4,110.0,2696.6,15.9
517.0,102.3,65.3,113.5,2704.2,10.7
517.5,111.0,69.2,122.6,2672.2,13.1
518.0,119.4,70.5,123.5,2617.3,16.5
518.5,110.5,71.2,124.4,2601.9,15.6
519.0,112.4,71.1,122.2,2585.0,15.3
519.5,110.5,69.4,119.2,2584.6,15.6
520.0,115.3,66.0,112.9,2625.7,13.1
520.5,116.9,65.0,112.5,2723.3,14.9
521.0,127.8,66.4,114.4,2731.0,14.5
521.5,128.5,66.6,112.3,2680.7,14.8
522.0,105.8,64.6,108.1,2652.4,11.6
522.5,89.8,64.2,106.8,2677.9,7.9
523.0,84.0,63.4,105.7,2674.5,9.2
523.5,77.2,60.4,108.4,2689.9,6.3
524.0,86.1,64.9,112.4,2655.2,9.2
524.5,100.0,64.7,110.8,2657.9,14.0
525.0,97.7,61.1,106.0,2713.1,11.0
525.5,90.2,58.6,102.8,2738.3,9.7
526.0,89.8,58.8,103.5,2730.5,10.1
526.5,97.3,59.9,105.3,2736.8,10.6
527.0,100.5,59.4,102.7,2727.3,11.4
527.5,98.5,60.3,105.0,2746.2,10.5
528.0,115.4,61.9,107.0,2720.4,12.6
528.5,109.9,61.7,108.0,2712.2,13.3
529.0,94.6,55.9,100.2,2741.5,11.7
529.5,13.1,51.8,96.2,2961.1,-1.7
530.0,5.0,51.3,96.5,2976.0,-2.2
530.5,6.1,51.4,97.4,2977.6,-2.1
531.0,6.2,51.4,97.4,2973.5,-2.1
531.5,6.7,51.3,96.2,2998.5,-2.0
532.0,7.9,51.3,95.3,3031.4,-1.8
532.5,8.2,51.5,94.5,3013.0,-1.9
533.0,33.8,52.6,95.5,2927.4,0.3
533.5,57.4,55.8,100.5,2807.7,9.8
534.0,49.8,54.3,100.3,2757.3,13.6
534.5,49.5,52.3,94.6,2791.1,5.7
535.0,47.2,53.4,95.2,2770.6,5.5
535.5,51.4,52.7,94.1,2776.1,8.8
536.0,36.9,50.0,90.3,2803.5,8.9
536.5,35.8,51.3,91.8,2788.2,8.7
537.0,68.7,51.9,94.1,2710.9,8.2
537.5,21.0,51.2,94.8,2898.3,-1.1
538.0,19.7,51.4,96.4,2969.7,-1.1
538.5,18.9,51.8,95.8,2963.0,-0.9
539.0,21.9,51.9,95.3,2955.5,-0.5
539.5,33.4,53.3,96.1,2914.2,-0.0
540.0,76.8,59.6,104.0,2765.2,6.7
540.5,96.4,61.7,105.9,2688.5,12.4
541.0,90.9,59.9,101.8,2669.8,9.9
541.5,76.2,56.2,96.4,2757.6,8.6
542.0,71.0,54.6,94.7,2781.9,8.2
542.5,61.4,59.3,104.7,2793.0,6.0
543.0,99.4,69.6,120.8,2576.9,13.3
543.5,109.8,67.3,118.9,2536.2,14.9
544.0,75.0,56.4,94.2,2666.3,12.5
544.5,46.8,50.3,89.3,2790.2,8.7
545.0,45.2,53.6,94.9,2805.4,6.7
545.5,80.8,58.2,104.2,2737.7,9.0
546.0,112.1,66.0,114.4,2710.6,13.9
546.5,124.4,65.5,111.3,2664.7,18.5
547.0,89.0,64.8,110.2,2640.6,9.4
547.5,90.2,66.7,113.7,2615.5,12.6
